LANGUAGE_NAME_INTERNATIONAL = Español
LANGUAGE_NAME_LOCALE        = Español

#MENU      = 
#OPEN_MENU = 

CHAT           = Chat
SAVE_AND_APPLY = Aplicar y salvar
CANCEL         = Cancelar

CONTINUE_GAME                              = Continuar juego
LOAD_GAME                                  = Cargar juego
#INCOMPATIBLE_SAVEGAME                      = 
#INVALID_SAVEGAME                           = 
#FILE_NOT_FOUND                             = 
SAVEGAME_GETS_LOADED                       = Savegame cargado
SAVE_GAME                                  = Guardar la partida
NAME_OF_SAVEGAME                           = Nombre de la partida guardada
OVERWRITE_SAVEGAME                         = Sobrescribir partida guardada?
DO_YOU_REALLY_WANT_TO_OVERWRITE_SAVEGAME_X = ¿Realmente desea sobrescribir partida guardada %SAVEGAME%?
SAVEGAME_GETS_CREATED                      = Savegame ha sido creado
PLEASE_BE_PATIENT                          = Por favor sea paciente
EXIT_GAME                                  = Salir del juego
EXIT_TO_MAINMENU                           = Salir al menú principal

24_HOURS_GAMEDAY                                              = 24 horas gameday
ALLOW_TRAILERS_AND_INFOMERCIALS                               = Permitir trailers/infomerciaales
ALLOW_MOVIES_WITH_YEAR_OF_PRODUCTION_GT_GAMEYEAR              = Permitir las películas con año de fabricación > game year
#START_GAME_WITH_CREDIT                                        = 
#START_GAME_RANDOMIZE_PROGRAMME                                = 
OPTION_ON                                                     = Option selecionada
OPTION_OFF                                                    = Option deseleccionada
AVAILABLE_GAMES                                               = Juegos disponibles
ALREADY_OVER                                                  = Already over...?
DO_YOU_REALLY_WANT_TO_QUIT                                    = ¿De verdad quiere dejar de fumar?
DO_YOU_REALLY_WANT_TO_QUIT_THE_GAME_AND_RETURN_TO_STARTSCREEN = ¿De verdad quieres salir del juego y volver a PantInicial?

PREPARING_START_DATA           = Preparación de datos de inicio
SYNCHRONIZING_START_CONDITIONS = Sincronización de las condiciones de arranque
STARTING_MULTIPLAYERGAME       = Starting multiplayer game
STARTING_SINGLEPLAYERGAME      = Starting singleplayer game

PLAYERNAME                  = Nombre de jugador
CHANNELNAME                 = Nombre del canal
STATIONMAP                  = mapa de estacion
DATABASE                    = Base de datos
SOUND_OUTPUT                = Salida de Audio
GRAPHICS                    = Graficos
MUSIC                       = Musica
SFX                         = Efectos de sonido
FULLSCREEN                  = Pantalla completa
#VSYNC                       = 
RIGHTCLICK_EMULATION              = Emular "clic derecho"
RIGHTCLICK_EMULATION_EXPLANATION  = Simular un clic con el botón derecho del ratón mediante un clic largo con el botón izquierdo o un toque
RIGHTCLICK_EMULATION_TIME         = Tiempo hasta "clic derecho"
#WINDOW_MODE_RESOLUTION      = 
#INPUT                       = 
#USE_TOUCH_INPUT             = 
#USE_TOUCH_INPUT_EXPLANATION = 
#MOVE_INSTEAD_CLICK_RADIUS   = 
#MULTIPLAYER                 = 
#SINGLEPLAYER                = 
DEFAULTS_FOR_NEW_GAME       = Defaults for "Nueva Partida"
RENDERER                    = Procesador
SOUND_ENGINE                = Base de audio
#SOUND_MUSIC_VOLUME          = 
#SOUND_SFX_VOLUME            = 
#SOUND_MUTED                 = 
PORT_ONLINEGAME             = Puerto para jugar en linea
#GAME_SPEED_IN_ROOMS         = 
#AUTOSAVE_INTERVAL           = 

GAME_TITLE  = Titulo del Juego
START_YEAR  = Año de inicio
#DAY_OF_YEAR = 

YES        = Si
NO         = No
#OK         = 
MONEY      = Dinero
DEBT       = Deuda
REACH      = Legar
PRICE      = Precio
VALUE      = Valor
#POPULATION =
#NAME       = 

#GENDER_MEN         = 
#GENDER_WOMEN       = 
#GENDER_ALL         = 
#GENDER_MEN_SHORT   = 
#GENDER_WOMEN_SHORT = 

CURRENCY     = €
OCLOCK       =
#DAY_SHORT    = 
#HOUR_SHORT   = 
#MINUTE_SHORT = 
DAY          = dia
DAYS         = dias
#DATE         = 
#HOUR         = 
#HOURS        = 
#MINUTE       = 
#MINUTES      = 
OLD          = Viejo
#TOMORROW     = 
TODAY        = Hoy
YESTERDAY    = Ayer
TWO_DAYS_AGO = Hace dos días
#IN_X_DAYS    = 
#X_DAYS_AGO   = 

WEEK_SHORT_MONDAY    = Lun
WEEK_SHORT_TUESDAY   = Mar
WEEK_SHORT_WEDNESDAY = Mie
WEEK_SHORT_THURSDAY  = Jue
WEEK_SHORT_FRIDAY    = Vie
WEEK_SHORT_SATURDAY  = sab
WEEK_SHORT_SUNDAY    = dom
WEEK_LONG_MONDAY     = Lunes
WEEK_LONG_TUESDAY    = Martes
WEEK_LONG_WEDNESDAY  = Miercoles
WEEK_LONG_THURSDAY   = Jueves
WEEK_LONG_FRIDAY     = Viernes
WEEK_LONG_SATURDAY   = Sabado
WEEK_LONG_SUNDAY     = Domingo
#SEASON_SPRING        = 
#SEASON_SUMMER        = 
#SEASON_AUTUMN        = 
#SEASON_WINTER        = 


MENU_SOLO_GAME       = Jugar Solo
MENU_START_GAME      = Empezar partida
MENU_NETWORKGAME     = Partida en LAN
MENU_ONLINEGAME      = Partida online
MENU_JOIN            = Entrar
MENU_CREATE_GAME     = Crear Juego
MENU_BACK            = Volver
MENU_SETTINGS        = Opciones
MENU_QUIT            = Salir
MENU_AVAILABLE_GAMES = juegos disponibles

#ABBREVIATION_THOUSAND = K
#ABBREVIATION_MILLION  = M
#ABBREVIATION_BILLION  = bn

#DIFFICULTY_EASY   = 
#DIFFICULTY_NORMAL = 
#DIFFICULTY_HARD   = 
#DIFFICULTY_CUSTOM = 

#GAMETIME  = 
#PLAYER    = 
#GAME      = 
GAME_TIME = Hora
GAMEDAY   = Dia


#GAMESPEED      = 
#SET_SPEED_TO_X = 

#MANUAL    = 
#HELP      = 
#SHOW_HELP = 

#DO_NOT_SHOW_AGAIN        = 
#DO_NOT_SHOW_ANY_TIPS     = 
