LANGUAGE_NAME_INTERNATIONAL = English
LANGUAGE_NAME_LOCALE = English

CHAT = Chat
SAVE_AND_APPLY = Save and apply
CANCEL = Cancel

MALE = male
FEMALE = female
UNDEFINED = undefined

PLAYERNAME = Playername
CHANNELNAME = Channelname
STATIONMAP = Stationmap
DATABASE = Database
SOUND_OUTPUT = Sound output
GRAPHICS = Graphics
MUSIC = Music
SFX = Sound effects
FULLSCREEN = Fullscreen
MULTIPLAYER = Multiplayer
RENDERER = Renderer
SOUND_ENGINE = Soundengine
DEFAULTS_FOR_NEW_GAME= Defaults for "New Game"
PORT_ONLINEGAME = Port for online games

STARTHINT_TITLE1 = Programme plan
STARTHINT_TEXT1 = The CTRL-key allows you to place a programme multiple times on your plan. While the SHIFT-key tries to place the next episode of a series.
STARTHINT_TITLE2 = Programme plan
STARTHINT_TEXT2 = The success of a broadcast is heavily based on the quality/rating of the programme. Also important is the air time of the programme, the popularity of the genre, the audience flow to (hopefully similar) follow up programmes and the amount of broadcasted trailers. The quality of news shows and other factors are playing an important role too.\n\nProgrammes of certain genres like comedy can be broadcasted in more often than other genres while keeping most of their topicality.
STARTHINT_TITLE3 = Ad contracts
STARTHINT_TEXT3 = Ad contracts have defined requirements to the minimum audience. This and of course profits/penalties are directly attached to the maximum audience a channel can reach currently.\n\nTherefore it is sometimes better to sign new contracts right before buying new stations.

CLOSES_AT_TIME = Closes at %TIME%

GAME_TITLE = Game title
START_YEAR = Start year

GAME_TIME = Game time
GAMEDAY = Gameday
BETTY_FEELINGS = Bettys feelings about you
THERE_IS_NO_LOVE_IN_THE_AIR_YET = There is no love in the air yet... ;D

PLEASE_BE_PATIENT = Please be patient
SAVEGAME_GETS_CREATED = Savegame gets created
SAVEGAME_GETS_LOADED = Savegame gets loaded

PROGRAMMELICENCES = Programme licences
SELECT_LICENCES_FOR_SALE = Select licences for sale


YES = Yes
NO = No
MONEY = Money
DEBT = Debt
REACH = Reach
INCREASE = Increase
PRICE = Price
VALUE = Value
BROADCASTING_AREA = Broadcasting area

CURRENCY = €
OCLOCK =
DAY = day
DAYS = days
WEEK_SHORT_MONDAY		= mo
WEEK_SHORT_TUESDAY		= tu
WEEK_SHORT_WEDNESDAY	= we
WEEK_SHORT_THURSDAY		= th
WEEK_SHORT_FRIDAY		= fr
WEEK_SHORT_SATURDAY		= sa
WEEK_SHORT_SUNDAY		= su
WEEK_LONG_MONDAY		= monday
WEEK_LONG_TUESDAY		= tuesday
WEEK_LONG_WEDNESDAY		= wednesday
WEEK_LONG_THURSDAY		= thursday
WEEK_LONG_FRIDAY		= friday
WEEK_LONG_SATURDAY		= saturday
WEEK_LONG_SUNDAY		= sunday


MENU_SOLO_GAME			= Solo game
MENU_START_GAME			= Start game
MENU_NETWORKGAME		= LAN game
MENU_ONLINEGAME			= Online game
MENU_JOIN				= Join
MENU_CREATE_GAME		= Create game
MENU_BACK				= Back
MENU_SETTINGS			= Settings
MENU_QUIT				= Quit game

MENU_AVAILABLE_GAMES	= Available games

NEWS_TECHNICS_MEDIA		= Media / Technics
NEWS_POLITICS_ECONOMY	= Politics / Economy
NEWS_SHOWBIZ			= Showbiz
NEWS_SPORT				= Sport
NEWS_CURRENTAFFAIRS		= Current affairs

PLANNER_UNKNOWN			= comes soon
PLANNER_PROGRAMME		= Programme
PLANNER_ADS				= Ads
PLANNER_FINANCES		= Finances
PLANNER_STATISTICS      = Statistics
PLANNER_MESSAGES		= Messages

ROOM_IS_BLOCKED = Room is blocked!
ROOM_IS_OCCUPIED = Raum ist besetzt!
ROOM_THERE_IS_ALREADY_SOMEONE_IN_THE_ROOM = In diesem Raum ist schon jemand.

ROOM_ELEVATORPLAN		= Elevator target planner
ROOM_NEWSPLANNER		= News planner
ROOM_FINANCES			= Finances
ROOM_SAFE				= Safe
ROOM_PROGRAMMEPLANNER	= Programme planner
ROOM_STATIONMAP			= Station map
ROOM_ROOMMAP			= Room map
ROOM_MOVIEAGENCY		= Movie Agency
ROOM_MOVIEAGENCY_OWNER	= J. Steward Jabble
ROOM_ADAGENCY			= Ad Agency
ROOM_ADAGENCY_OWNER		= owner: P.P. Purningham
ROOM_BUREAU_OF			= Office of %PLAYERNAME%
ROOM_BOSS_OF			= Boss of %CHANNELNAME%
ROOM_NEWSSTUDIO_OF		= News studio of %CHANNELNAME%
ROOM_ARCHIVE_OF			= Archive of %CHANNELNAME%
ROOM_ROOMBOARD			= Roomboard
ROOM_CREDITS			= Credits / About
ROOM_BETTY				= Betty
ROOM_SUPERMARKET		= Supermarket
ROOM_SUPERMARKET_SUB	= Things for everyone
ROOM_ROOMAGENCY			= Room Agency
ROOM_ROOMAGENCY_OWNER	= H.G. Higwig
ROOM_PEACEBROTHERS		= Peace-Brothers
ROOM_PEACEBROTHERS_SUB	= International Peace Agency
ROOM_GUNSAGENCY			= Guns Agency
ROOM_FREE_STUDIO		= Free studio
ROOM_STUDIO_OF			= Studio of %CHANNELNAME%
ROOM_SCRIPT_OFFICE		= Script office
