LANGUAGE_NAME_INTERNATIONAL = Francais	
LANGUAGE_NAME_LOCALE = Francais

CHAT = Chat
SAVE_AND_APPLY = Sauvegarder et appliquer
CANCEL = Annuler

MALE = Homme	
FEMALE = femme
UNDEFINED = Non defini


PLAYERNAME = Nom du Joeur
CHANNELNAME = Nom de la chaine
STATIONMAP = Carte des stations
DATABASE = Base de données
SOUND_OUTPUT = audio
GRAPHICS = Graphiques
MUSIC = Musique
SFX = Effets audio
FULLSCREEN = plein ecran
MULTIPLAYER = Multi joueurs
RENDERER = Rendu
SOUND_ENGINE = Moteur Audio
DEFAULTS_FOR_NEW_GAME= Nouvelle partie auto
PORT_ONLINEGAME = Port jeu en Ligne

STARTHINT_TITLE1 = Programme plan
STARTHINT_TEXT1 = The CTRL-key allows you to place a programme multiple times on your plan. While the SHIFT-key tries to place the next episode of a series.
STARTHINT_TITLE2 = Programme plan
STARTHINT_TEXT2 = The success of a broadcast is heavily based on the quality/rating of the programme. Also important is the air time of the programme, the popularity of the genre, the audience flow to (hopefully similar) follow up programmes and the amount of broadcasted trailers. The quality of news shows and other factors are playing an important role too.\n\nProgrammes of certain genres like comedy can be broadcasted in more often than other genres while keeping most of their topicality.
STARTHINT_TITLE3 = Ad contracts
STARTHINT_TEXT3 = Ad contracts have defined requirements to the minimum audience. This and of course profits/penalties are directly attached to the maximum audience a channel can reach currently.\n\nTherefore it is sometimes better to sign new contracts right before buying new stations.

CLOSES_AT_TIME = Closes at %TIME%

GAME_TITLE = Nom de la partie
START_YEAR = Année de début

GAME_TIME = Heure
GAMEDAY = Jour
BETTY_FEELINGS = feeling avec Betty
THERE_IS_NO_LOVE_IN_THE_AIR_YET = c'est pas encore l'amour ;)

PLEASE_BE_PATIENT = Patienter svp
SAVEGAME_GETS_CREATED = Sauvegarde crée
SAVEGAME_GETS_LOADED = Sauvegarde chargée

PROGRAMMELICENCES = Programme licences
SELECT_LICENCES_FOR_SALE = choisir licence à vendre

YES = Oui	
NO = Non
MONEY = Argent
DEBT = Dette
REACH = portée
INCREASE = Augmentation
PRICE = Prix
VALUE = Valeur
BROADCASTING_AREA = Zone de diffusion

CURRENCY = €
OCLOCK =
DAY = jour
DAYS = jours
WEEK_SHORT_MONDAY		= lu
WEEK_SHORT_TUESDAY		= ma
WEEK_SHORT_WEDNESDAY	= me
WEEK_SHORT_THURSDAY		= je
WEEK_SHORT_FRIDAY		= ve
WEEK_SHORT_SATURDAY		= sa
WEEK_SHORT_SUNDAY		= di
WEEK_LONG_MONDAY		= Lundi	
WEEK_LONG_TUESDAY		= Mardi	
WEEK_LONG_WEDNESDAY		= Mercredi
WEEK_LONG_THURSDAY		= Jeudi
WEEK_LONG_FRIDAY		= Vendredi
WEEK_LONG_SATURDAY		= Samedi
WEEK_LONG_SUNDAY		= Dimanche


MENU_SOLO_GAME			= Partie en Solo
MENU_START_GAME			= Debuter Partie
MENU_NETWORKGAME		= Partie Lan
MENU_ONLINEGAME			= Partie en Ligne
MENU_JOIN				= Rejoindre
MENU_CREATE_GAME		= Creer Partie
MENU_BACK				= Retour
MENU_SETTINGS			= Option
MENU_QUIT				= Quitter partie

MENU_AVAILABLE_GAMES	= Parties disponbiles

NEWS_TECHNICS_MEDIA		= Media
NEWS_POLITICS_ECONOMY	= Politiques / Economies
NEWS_SHOWBIZ			= Showbiz
NEWS_SPORT				= Sport
NEWS_CURRENTAFFAIRS		= Actu

PLANNER_UNKNOWN			= Bientôt
PLANNER_PROGRAMME		= Programme
PLANNER_ADS				= Pub
PLANNER_FINANCES		= Finances
PLANNER_STATISTICS      = Statistiques
PLANNER_MESSAGES		= Messages

ROOM_IS_BLOCKED = Salle bloquée
ROOM_IS_OCCUPIED = Salle occupée
ROOM_THERE_IS_ALREADY_SOMEONE_IN_THE_ROOM = il ya déjà quelqu'un ici !

ROOM_ELEVATORPLAN		= Plan de l'ascenceur
ROOM_NEWSPLANNER		= News planner
ROOM_FINANCES			= Finances
ROOM_SAFE				= Sauvegarde
ROOM_PROGRAMMEPLANNER	= Programme 
ROOM_STATIONMAP			= Carte des stations
ROOM_ROOMMAP			= Plan de la tour
ROOM_MOVIEAGENCY		= Agence de Film
ROOM_MOVIEAGENCY_OWNER	= J. Steward Jabble
ROOM_ADAGENCY			= Agence de pub
ROOM_ADAGENCY_OWNER		= Proprietaire: P.P. Purningham
ROOM_BUREAU_OF			= Bureau %PLAYERNAME%
ROOM_BOSS_OF			= Boss de %CHANNELNAME%
ROOM_NEWSSTUDIO_OF		= Studio JT %CHANNELNAME%
ROOM_ARCHIVE_OF			= Archive de %CHANNELNAME%
ROOM_ROOMBOARD			= Plan
ROOM_CREDITS			= Credits / About
ROOM_BETTY				= Betty
ROOM_SUPERMARKET		= Supermarché
ROOM_SUPERMARKET_SUB	= Bric a Brac
ROOM_ROOMAGENCY			= Agence immobiliere
ROOM_ROOMAGENCY_OWNER	= H.G. Higwig
ROOM_PEACEBROTHERS		= Paix-Brothers
ROOM_PEACEBROTHERS_SUB	= Agence pour la Paix
ROOM_GUNSAGENCY			= Agence des Armes
ROOM_FREE_STUDIO		= Studio Libre
ROOM_STUDIO_OF			= Studio de %CHANNELNAME%
ROOM_SCRIPT_OFFICE		= Bureau de Script
ROOM_SCRIPT_OFFICE_OWNER= John S. Jibble
ROOM_NOTOBACCO			= Societé du Tabac
ROOM_NOTOBACCO_OWNER	= American Society contre le tabac
ROOM_TOBACCOLOBBY		= Tabac lobby
ROOM_TOBACCOLOBBY_OWNER	= Union of American Tabac producteur
ROOM_VRDUBAN			= Consulat de VR Duban
ROOM_FRDUBAN			= Ambassade de FR Duban
