LANGUAGE_NAME_INTERNATIONAL = Turkish
LANGUAGE_NAME_LOCALE = Türkçe

CHAT = Sohbet
SAVE_AND_APPLY = Kaydet ve Uygula
CANCEL = Vazgeç

MALE = bay
FEMALE = bayan
UNDEFINED = tanımsız

PLAYERNAME = Oyuncu İsmi
CHANNELNAME = Kanal İsmi
STATIONMAP = İstasyon Haritası
DATABASE = Veritabanı
SOUND_OUTPUT = Ses Çıktısı
GRAPHICS = Grafik
MUSIC = Müzik
SFX = Ses Efektleri
FULLSCREEN = Tam Ekran
MULTIPLAYER = Çoklu Oyuncu
RENDERER = İşleyici
SOUND_ENGINE = Ses Motoru
DEFAULTS_FOR_NEW_GAME= "Yeni Oyun" için Varsayılanlar
PORT_ONLINEGAME = Internet Oyunu için Port

STARTHINT_TITLE1 = Program Planı
STARTHINT_TEXT1 = CTRL Tuşu, Programı Plana birden çok kez yerleştirmenizi sağlar. SHIFT Tuşu, Dizinin bir sonraki bölümünü yerleştirmenizi sağlar.
STARTHINT_TITLE2 = Program Planı
STARTHINT_TEXT2 = Yayının başarısı, programın Kalite/Reyting değerine çok bağlıdır. Ayrıca, programın yayın saati, Türün popularitesine, izleyicilerin takip eden (genellikle benzer) programa olan ilgilerine ve yayınlanan fragman miktarına bağlıdır. Haber yayınları ve diğer faktörler de başarıyı mutlaka etkiler.\n\n Komedi gibi bazı program türleri, yüksek güncellik içerse de diğer programlara göre daha yüksek sıklıkla yayınlanabilir.
STARTHINT_TITLE3 = Reklam Kontratları
STARTHINT_TEXT3 = Reklam Kontratları, en az izleyici sınırı ile tanımlanır. Reklamın getirisi ve cezası, kanalın ulaşabileceği en fazla izleyici potansiyeli ile bağlantılıdır. \n\n Bu nedenle bazen yeni istasyon anlaşması yapmadan önce kontratları imzalamak iyi olabilir.

CLOSES_AT_TIME = %TIME% olmadan önce...
CLOSES_AT_DAY = Kapatır: %TIME%

GAME_TITLE = Oyun Başlığı
START_YEAR = Başlangıç Yılı

GAME_TIME = Oyun Zamanı
GAMEDAY = Oyun Günü
BETTY_FEELINGS = Betty'nin sizin hakkınızdaki hisleri
THERE_IS_NO_LOVE_IN_THE_AIR_YET = Henüz havada aşk kokusu yok... ;)

PLEASE_BE_PATIENT = Lütfen, bekleyiniz
SAVEGAME_GETS_CREATED = Oyun kaydediliyor
SAVEGAME_GETS_LOADED = Oyun yükleniyor

PROGRAMMELICENCES = Program Lisansları
SELECT_LICENCES_FOR_SALE = Satılacak Lisansları Seçin


YES = Evet
NO = Hayır
MONEY = Bütçe
DEBT = Borç
REACH = Eriş
INCREASE = Arttır
PRICE = Fiyat
VALUE = Değer
BROADCASTING_AREA = Yayın Alanı

CURRENCY = €
OCLOCK =
DAY = gün
DAYS = gün
WEEK_SHORT_MONDAY		= pzt
WEEK_SHORT_TUESDAY		= salı
WEEK_SHORT_WEDNESDAY	= çarş
WEEK_SHORT_THURSDAY		= perş
WEEK_SHORT_FRIDAY		= cuma
WEEK_SHORT_SATURDAY		= cmt
WEEK_SHORT_SUNDAY		= pzr
WEEK_LONG_MONDAY		= pazartesi
WEEK_LONG_TUESDAY		= salı
WEEK_LONG_WEDNESDAY		= çarşamba
WEEK_LONG_THURSDAY		= perşembe
WEEK_LONG_FRIDAY		= cuma
WEEK_LONG_SATURDAY		= cumartesi
WEEK_LONG_SUNDAY		= pazar


MENU_SOLO_GAME			= Tek Kişilik Oyun
MENU_START_GAME			= Oyuna Başla
MENU_NETWORKGAME		= Ağ Oyunu
MENU_ONLINEGAME			= İnternet Oyunu
MENU_JOIN				= Katıl
MENU_CREATE_GAME		= Oyun Yarat
MENU_BACK				= Geri
MENU_SETTINGS			= Ayarlar
MENU_QUIT				= Oyundan Çık

MENU_AVAILABLE_GAMES	= Uygun Oyunlar

NEWS_TECHNICS_MEDIA		= Medya / Teknik
NEWS_POLITICS_ECONOMY	= Politika / Ekonomi
NEWS_SHOWBIZ			= Magazin
NEWS_SPORT				= Spor
NEWS_CURRENTAFFAIRS		= Güncel Haberler

PLANNER_UNKNOWN			= Pek Yakında
PLANNER_PROGRAMME		= Program
PLANNER_ADS				= Reklamlar
PLANNER_FINANCES		= Finans
PLANNER_STATISTICS      = İstatistikler
PLANNER_MESSAGES		= Mesajlar

ROOM_IS_BLOCKED = Oda Bloke!
ROOM_IS_OCCUPIED = Oda Dolu!
ROOM_THERE_IS_ALREADY_SOMEONE_IN_THE_ROOM = Odada şu anda birileri var...

ROOM_ELEVATORPLAN		= Asansör Kat Planı
ROOM_NEWSPLANNER		= Haber Planlama
ROOM_FINANCES			= Finans
ROOM_SAFE				= Kasa
ROOM_PROGRAMMEPLANNER	= Program Planlama
ROOM_STATIONMAP			= İstasyon Haritası
ROOM_ROOMMAP			= Oda Haritası
ROOM_MOVIEAGENCY		= Film Ajansı
ROOM_MOVIEAGENCY_OWNER	= J. Steward Jabble
ROOM_ADAGENCY			= Reklam Ajansı
ROOM_ADAGENCY_OWNER		= P.P. Purningham
ROOM_BUREAU_OF			= %PLAYERNAME% Ofisi
ROOM_BOSS_OF			= %CHANNELNAME% Kanalı
ROOM_NEWSSTUDIO_OF		= %CHANNELNAME% Haber Stüdyosu
ROOM_ARCHIVE_OF			= %CHANNELNAME% Arşivi
ROOM_ROOMBOARD			= Oda Panosu
ROOM_CREDITS			= Jenerik / Hakkında
ROOM_BETTY				= Betty
ROOM_SUPERMARKET		= Süpermarket
ROOM_SUPERMARKET_SUB	= Herkes için
ROOM_ROOMAGENCY			= Emlakçı
ROOM_ROOMAGENCY_OWNER	= H.G. Higwig
ROOM_PEACEBROTHERS		= Barış Kardeşliği
ROOM_PEACEBROTHERS_SUB	= Uluslararası Barış Ajansı
ROOM_GUNSAGENCY			= Silah Ajansı
ROOM_FREE_STUDIO		= Boş Stüdyo
ROOM_STUDIO_OF			= %CHANNELNAME% Stüdyosu
ROOM_SCRIPT_OFFICE		= Senaryo Ofisi
ROOM_SCRIPT_OFFICE_OWNER= John S. Jibble
ROOM_NOTOBACCO			= Tütün Karşıtları Derneği
ROOM_NOTOBACCO_OWNER	= Amerikan Tütün Karşıtları Derneği
ROOM_TOBACCOLOBBY		= Tütün Lobisi
ROOM_TOBACCOLOBBY_OWNER	= Amerikan Tütün Üreticileri Birliği
ROOM_VRDUBAN			= VR Duban Konsolosluğu
ROOM_FRDUBAN			= FR Duban Elçiliği
ROOM_PORTER				= Kapıcı
ROOM_LAUNDRY			= Çamaşırhane
ROOM_BIOCONTROL			= BiyoKontrol
