MALE      = masculin
FEMALE    = féminin
UNDEFINED = indéfini

JOB_ALL              = Tous les métiers
JOB_DIRECTOR         = Réalisateur
JOB_DIRECTORS        = Réalisateurs
JOB_ACTOR            = Acteur
JOB_ACTORS           = Acteurs
JOB_SUPPORTINGACTOR  = Second rôle
JOB_SUPPORTINGACTORS = Second rôles
JOB_REPORTER         = Journaliste
JOB_REPORTERS        = Journalistes
JOB_GUEST            = Invité
JOB_GUESTS           = Invités
JOB_HOST             = Présentateur
JOB_HOSTS            = Présentateurs
JOB_SCRIPT           = Scénario
JOB_SCRIPTWRITER     = Scénariste
JOB_SCRIPTWRITERS    = Scénaristes
JOB_MUSIC            = Musique
JOB_MUSICIAN         = Musicien
JOB_MUSICIANS        = Musiciens

JOB_AMATEUR                  = Amateur
JOB_AMATEURS                 = Amateurs
JOB_AMATEUR_DIRECTOR         = Réalisateur amateur
JOB_AMATEUR_DIRECTORS        = Réalisateurs amateurs
JOB_AMATEUR_ACTOR            = Acteur amateur
JOB_AMATEUR_ACTORS           = Acteurs amateurs
JOB_AMATEUR_SUPPORTINGACTOR  = Second rôle amateur
JOB_AMATEUR_SUPPORTINGACTORS = Seconds rôles amateurs
JOB_AMATEUR_REPORTER         = Journaliste amateur
JOB_AMATEUR_REPORTERS        = Journalistes amateurs
JOB_AMATEUR_GUEST            = Invité amateur
JOB_AMATEUR_GUESTS           = Invités amateurs
JOB_AMATEUR_HOST             = Hôte amateur
JOB_AMATEUR_HOSTS            = Hôtes amateurs
JOB_AMATEUR_SCRIPTWRITER     = Scénariste amateur
JOB_AMATEUR_SCRIPTWRITERS    = Scénaristes amateurs
JOB_AMATEUR_MUSICIAN         = Musicien amateur
JOB_AMATEUR_MUSICIANS        = Musiciens amateurs

JOB_POSITION_UNASSIGNED = Vacant

CAST_TRAINING         = Formation
CAST_EXPERIENCE       = Expérience
CAST_FAME             = Notoriété
CAST_AFFINITY         = Affinité
CAST_POWER            = Force
CAST_HUMOR            = Humour
CAST_CHARISMA         = Charisme
CAST_APPEARANCE       = Apparence
CAST_FEE              = Salaire
CAST_JOB_EXPERIENCE   = Expérience dans le métier
CAST_GENRE_EXPERIENCE = Expérience dans le genre

DIALOGUE_STUDIO_BRING_SOME_SCRIPT                         = Salut %PLAYERNAME%,\n\nApporte-moi un script et on devrait pouvoir faire un truc sympa.
DIALOGUE_STUDIO_SCRIPT_HINT                               = Hmmm, je ne peux pas t'en dire plus sur ce script.\nOn verra si les développeurs me permettent d'en faire plus dans une future version du jeu.\n*haussement d'épaules*
DIALOGUE_STUDIO_SHOPPING_LIST_LIMIT_REACHED               = Il n'y a pas de place pour une nouvelle liste de courses. Je ne peux pas t'en donner de nouvelle tant que tu ne lances pas de production ou que tu ne jettes pas une ancienne liste.
DIALOGUE_STUDIO_YOU_NEED_TO_FINISH_PRODUCTION_PLANNING    = Pour pouvoir lancer la production, tu vas devoir acheter le nécessaire de tournage au supermarché.

DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION                                                    = Alors comme ça tu veux produire |b|%SCRIPTTITLE%|/b| ?
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PRODUCTION_PLANNED                               = Pour le moment, |b|1 production|/b| de ce script est prévue.
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_PLANNED                              = Pour le moment, |b|%X% productions|/b| de ce script sont prévues.
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PRODUCTION_DONE                                  = Pour le moment, |b|1 production|/b| de ce script a été réalisée.
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_DONE                                 = Pour le moment, |b|%X% productions|/b| de ce script ont été réalisées.
