MALE      = homem
FEMALE    = mulher
UNDEFINED = indefinido

JOB_ALL              = Todos as ocupações
JOB_DIRECTOR         = Diretor
JOB_DIRECTORS        = Direores
JOB_ACTOR            = Ator
JOB_ACTORS           = Atores
JOB_SUPPORTINGACTOR  = Ator Coadjuvante
JOB_SUPPORTINGACTORS = Atores Coadjuvantes
JOB_REPORTER         = Repórter
JOB_REPORTERS        = Repórteres
JOB_GUEST            = Convidado
JOB_GUESTS           = Convidados
JOB_HOST             = Anfitrião
JOB_HOSTS            = Anfitriões
JOB_SCRIPT           = Roteiro
JOB_SCRIPTWRITER     = Roteirista
JOB_SCRIPTWRITERS    = Roteiristas
JOB_MUSIC            = Música
JOB_MUSICIAN         = Músico
JOB_MUSICIANS        = Músicos

JOB_AMATEUR                  = Amador
JOB_AMATEURS                 = Amadores
JOB_AMATEUR_DIRECTOR         = Diretor amador
JOB_AMATEUR_DIRECTORS        = Diretores amadores
JOB_AMATEUR_ACTOR            = Ator amador
JOB_AMATEUR_ACTORS           = Atores amadores
JOB_AMATEUR_SUPPORTINGACTOR  = Ator coadjuvante amador
JOB_AMATEUR_SUPPORTINGACTORS = Atores coadjuvantes amadores
JOB_AMATEUR_REPORTER         = Repórter amador
JOB_AMATEUR_REPORTERS        = Repórteres amador
JOB_AMATEUR_GUEST            = Convidado amador
JOB_AMATEUR_GUESTS           = Convidados amadores
JOB_AMATEUR_HOST             = Anfitrião amador
JOB_AMATEUR_HOSTS            = Anfitriões amadores
JOB_AMATEUR_SCRIPTWRITER     = Roteirista amador
JOB_AMATEUR_SCRIPTWRITERS    = Roteiristas amadores
JOB_AMATEUR_MUSICIAN         = Músico amador
JOB_AMATEUR_MUSICIANS        = Músicos amadores

JOB_POSITION_UNASSIGNED = Não atribuído

CAST_EXPERIENCE       = Experiência
CAST_FAME             = Fama
#CAST_AFFINITY         = 
CAST_POWER            = Força
CAST_HUMOR            = Humor
CAST_CHARISMA         = Carisma
CAST_APPEARANCE       = Aparência
#CAST_FEE              = 
#CAST_JOB_EXPERIENCE   = 
#CAST_GENRE_EXPERIENCE = 

DIALOGUE_STUDIO_BRING_SOME_SCRIPT                         = Oi, %PLAYERNAME%,\n\nTraga um roteiro e nós poderemos produzir algo legal.
DIALOGUE_STUDIO_SCRIPT_HINT                               = Hmmm, não posso te dizer os detalhes do roteiro. Talvez eu poderei dizer mais em uma versão futura do jogo. Isso depende dos desenvolvedores. *suspiro*.
DIALOGUE_STUDIO_SHOPPING_LIST_LIMIT_REACHED               = Por falar nisso: Não há mais espaço sobrando para outras listas de compras. Eu não posso te dar outra até que você remova uma primeiro (selecione uma lista de compras e delete ela apertando o botão direito do mouse).
DIALOGUE_STUDIO_YOU_NEED_TO_FINISH_PRODUCTION_PLANNING    = Para começar a produção, você primeiro precisa terminar o planejamento da produção no supermercado.
#DIALOGUE_STUDIO_YOU_NEED_TO_FINISH_PREPRODUCTION_PLANNING = 

DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION                                                    = Então você quer produzir |b|%SCRIPTTITLE%|/b|?
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PRODUCTION_PLANNED                               = Até então, |b|1 produção|/b| desse roteiro está planejada.
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_PLANNED                              = Aé agora, |b|%X% produções|/b| desse roteiro estão planejada.
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PRODUCTION_DONE                                  = Até agora, |b|1 produção|/b| desse roteiro foi feita.
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_DONE                                 = Até agora, |b|%X% produções|/b| desse roteiro foram feitas.
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_PLANNED_AND_Y_PRODUCTIONS_DONE       = Até então, |b|%X% produções|/b| desse roteiro estão planejada e |b|%Y%|/b| foram feitas.
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PREPRODUCTION_PLANNED                            = 
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PREPRODUCTIONS_PLANNED                           = 
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_1_PREPRODUCTION_DONE                               = 
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PREPRODUCTIONS_DONE                              = 
