PLANNER_UNKNOWN      = Pek Yakında
PLANNER_PROGRAMME    = Program
PLANNER_ADS          = Reklamlar
PLANNER_FINANCES     = Finans
PLANNER_STATISTICS   = İstatistikler
PLANNER_MESSAGES     = Mesajlar
#PLANNER_ACHIEVEMENTS =

PRIMETIME     = Primetime
NIGHTTIME     = Gece Programı
LOW_AUDIENCE  = Düşük İzleyici
HIGH_AUDIENCE = Yüksek İzleyici


MOVIE_SPEED       = Tempo
MOVIE_CRITIC      = Eleştiri
MOVIE_BOXOFFICE   = Gişe Hasılatı
#MOVIE_TVAUDIENCE  = 
MOVIE_TOPICALITY  = Güncellik
MOVIE_BLOCKS      = bloklar
MOVIE_XRATED      = +18
MOVIE_EPISODES    = bölüm
MOVIE_CAST        = Ekip
#MOVIE_REPITITIONS = 

#MOVIE_LIVESHOW   = 
MOVIE_CALLINSHOW = Her 1.000 İzleyici başına %PROFIT% kazanacaksınız.
MOVIE_TRAILER    = Gelecek yayın ile ilgili Fragman yayınlamanız ilgiyi arttırabilir.

MOVIES          = Film
SERIES          = Dizi
SERIES_SINGULAR = Dizi
SPECIAL_BIN     = Özel
AUCTION         = Açık Arttırma
TRAILER         = Fragman
X_RATED         = +18

MOVIES_AND_SERIES_AUCTION                = Film ve Dizi Açık Arttırması
CLICK_ON_MOVIE_OR_SERIES_TO_PLACE_BID    = Teklif vermek için Film veya Diziye tıklayınız.
AUCTION_MAKE_BID                         = Teklif
AUCTION_WITHOUT_BID                      = Teklifsiz
YOU_HAVE_BEEN_OUTBID                     = Açık arttırmada sizden yüksek teklif veren oldu.
SOMEONE_BID_MORE_THAN_YOU_FOR_X          = |b|%TITLE%|b| için senden daha iyi teklif veren oldu.
YOUR_PREVIOUS_BID_OF_X_WAS_REFUNDED      = Verdiğiniz, %MONEY% miktarda teklif ücreti iade edildi.  
YOU_HAVE_WON_AN_AUCTION                  = Bir Açık Arttırma kazandınız.

PROGRAMME_GENRE_UNDEFINED                  = Çeşitli
PROGRAMME_GENRE_ADVENTURE                  = Macera
PROGRAMME_GENRE_ACTION                     = Aksiyon
PROGRAMME_GENRE_ANIMATION                  = Animasyon
PROGRAMME_GENRE_CRIME                      = Polisiye
PROGRAMME_GENRE_COMEDY                     = Komedi
PROGRAMME_GENRE_DOCUMENTARY                = Belgesel
PROGRAMME_GENRE_DRAMA                      = Drama
PROGRAMME_GENRE_EROTIC                     = Erotik
PROGRAMME_GENRE_FAMILY                     = Aile
PROGRAMME_GENRE_FANTASY                    = Kurgu
PROGRAMME_GENRE_HISTORY                    = Tarihi
PROGRAMME_GENRE_HORROR                     = Korku
PROGRAMME_GENRE_MONUMENTAL                 = Anıtsal
PROGRAMME_GENRE_MYSTERY                    = Gizem
PROGRAMME_GENRE_ROMANCE                    = Romantik
PROGRAMME_GENRE_SCIFI                      = Bilim Kurgu
PROGRAMME_GENRE_THRILLER                   = Gerilim
PROGRAMME_GENRE_WESTERN                    = Vahşi Batı
PROGRAMME_GENRE_DOCUMENTARIES_AND_FEATURES = Belgesel & Kültürel
PROGRAMME_GENRE_SHOW_AND_EVENTS            = Şovlar & Etkinlikler
PROGRAMME_GENRE_SHOW                       = Şov
PROGRAMME_GENRE_SHOW_MUSIC                 = Müzik Şov
PROGRAMME_GENRE_SHOW_POLITICS              = Politik Sohbet
#PROGRAMME_GENRE_SHOW_GAME                  = 
#PROGRAMME_GENRE_SHOW_TALK                  = 
PROGRAMME_GENRE_EVENT                      = Etkinlik
PROGRAMME_GENRE_EVENT_POLITICS             = Politika
PROGRAMME_GENRE_EVENT_SPORT                = Spor
PROGRAMME_GENRE_EVENT_SHOWBIZ              = Eğlence
PROGRAMME_GENRE_EVENT_MUSIC                = Müzik & Konser
PROGRAMME_GENRE_FEATURE                    = Kültürel
PROGRAMME_GENRE_FEATURE_YELLOWPRESS        = Magazin Basını

PROGRAMME_FLAG_LIVE      = Canlı
PROGRAMME_FLAG_ANIMATION = Animasyon
PROGRAMME_FLAG_CULTURE   = Kültür
PROGRAMME_FLAG_CULT      = Ekol
PROGRAMME_FLAG_TRASH     = İşe Yaramaz
PROGRAMME_FLAG_BMOVIE    = Düşük Bütçeli
PROGRAMME_FLAG_XRATED    = +18
PROGRAMME_FLAG_PAID      = Ücretli Program
PROGRAMME_FLAG_SERIES    = Dizi tarzı
PROGRAMME_FLAG_SCRIPTED  = Senaryolu Şov

PROGRAMMELICENCES          = Program Lisansları
SELECT_LICENCES_FOR_SALE   = Satılacak Lisansları Seçin
LICENCETYPE_COLLECTION     = Koleksiyon
LICENCETYPE_SINGLE         = Tek
LICENCETYPE_EPISODE        = Bölüm
LICENCETYPE_SERIES         = Dizi
LICENCETYPE_FRANCHISE      = Bayilik
SERIES_WITH_X_EPISODES     = %EPISODESCOUNT% bölümlük Dizi
#COLLECTION_WITH_X_ELEMENTS =

PROGRAMME_PRODUCT_UNDEFINED   = Tanımsız
PROGRAMME_PRODUCT_MOVIE       = Film
PROGRAMME_PRODUCT_SERIES      = Dizi
PROGRAMME_PRODUCT_SHOW        = Şov
PROGRAMME_PRODUCT_FEATURE     = Kültürel
PROGRAMME_PRODUCT_INFOMERCIAL = Bilgi Amaçlı Reklam
PROGRAMME_PRODUCT_EVENT       = Etkinlik
PROGRAMME_PRODUCT_MISC        = Çeşitli

PROGRAMME_IN_PROGRAMME_PLAN              = Plandaki Program!
#TRAILER_IN_PROGRAMME_PLAN                = 
#PROGRAMME_AND_TRAILER_IN_PROGRAMME_PLAN  = 
#ONLY_1_BROADCAST_POSSIBLE                = 
#ONLY_X_BROADCASTS_POSSIBLE               = 
#NO_MORE_BROADCASTS_ALLOWED               = 
#BROADCAST_TIME_RESTRICTED                = 
#BROADCAST_ONLY_ALLOWED_FROM_X_TO_Y       = 
#FIRST_BROADCAST_ONLY_ALLOWED_FROM_X_TO_Y = 
#LIVE_PRODUCTION_FINISH_WILL_COST_X       =

OPENINGSHOW_TITLE       = %CHANNELNAME% kanalından büyük açılış
OPENINGSHOW_DESCRIPTION = Şampanyaları patlatın. %CHANNELNAME% bugün açılıyor.

#SPORT_PROGRAMME_TITLE                                = 
#SPORT_PROGRAMME_ALL_X_MATCHES_OF_LEAGUEX_IN_SEASON_X = 
#SPORT_PROGRAMME_MATCH_TIMES                          = 
#SPORT_PROGRAMME_MATCH_DESCRIPTION1                   = 
#SPORT_PROGRAMME_MATCH_DESCRIPTION2                   = 
#SPORT_PROGRAMME_MATCH_DESCRIPTION3                   = 
#SPORT_PROGRAMME_MATCH_DESCRIPTION4                   = 
#SPORT_PROGRAMME_MATCH_DESCRIPTION5                   = 

#SPORT_PROGRAMME_PLAYOFF_MATCH    = 
#SPORT_PROGRAMME_MATCH_OF_LEAGUEX = 
#SPORT_PLAYOFFS_LONG              = 
#SPORT_PLAYOFFS_SHORT             = 

#SPORT_AFTER_PENALTY_SHORT  = 
#SPORT_AFTER_OVERTIME_SHORT = 

#LIVE_ON_TAPE                        = 
#ALL_MATCHES_FINISHED                = 
#X_OF_Y_LIVE_MATCHES_ALREADY_STARTED = 


PENALTY_OF_X_WAS_PAID                                      = Ödenen ceza: %MONEY% .
BROADCAST_OF_XRATED_PROGRAMME_X_NOT_ALLOWED_DURING_DAYTIME = +18 olan Film, |b|%TITLE%|b| , gün içinde YAYINLANAMAZ.
AUTHORITIES_STOPPED_BROADCAST                              = Yetkililer yayını durdurdu
AUTHORITIES_CONFISCATED_LICENCE                            = Yetkililer lisansa el koydu
PROGRAMMELICENCE_X_GOT_CONFISCATED                         = |b|%TITLE%|/b| isimli program lisansına el konuldu.
SEEMS_AUTHORITIES_VISITED_THE_WRONG_ROOM                   = Yetkililer yanlış odayı ziyaret ettiler.
BETTER_WATCH_OUT_NEXT_TIME                                 = Bir dahaki sefere daha dikkatli davranın.
