ROOM_ELEVATORPLAN        = Plan de l'ascenceur
ROOM_NEWSPLANNER         = News planner
ROOM_FINANCES            = Finances
ROOM_SAFE                = Sauvegarde
ROOM_PROGRAMMEPLANNER    = Programme
ROOM_STATIONMAP          = Carte des stations
ROOM_ROOMMAP             = Plan de la tour
ROOM_MOVIEAGENCY         = Agence de Film
ROOM_MOVIEAGENCY_OWNER   = J. Steward Jabble
ROOM_ADAGENCY            = Agence de pub
ROOM_ADAGENCY_OWNER      = Proprietaire: P.P. Purningham
ROOM_BUREAU_OF           = Bureau %PLAYERNAME%
ROOM_BOSS_OF             = Boss de %CHANNELNAME%
ROOM_NEWSSTUDIO_OF       = Studio JT %CHANNELNAME%
ROOM_ARCHIVE_OF          = Archive de %CHANNELNAME%
ROOM_ROOMBOARD           = Plan
ROOM_CREDITS             = Credits / About
ROOM_BETTY               = Betty
ROOM_SUPERMARKET         = Supermarché
ROOM_SUPERMARKET_SUB     = Bric a Brac
ROOM_ROOMAGENCY          = Agence immobiliere
ROOM_ROOMAGENCY_OWNER    = H.G. Higwig
ROOM_PEACEBROTHERS       = Paix-Brothers
ROOM_PEACEBROTHERS_SUB   = Agence pour la Paix
ROOM_GUNSAGENCY          = Agence des Armes
#ROOM_FREE_ROOM           = 
ROOM_FREE_STUDIO         = Studio Libre
ROOM_STUDIO_OF           = Studio de %CHANNELNAME%
ROOM_SCRIPT_OFFICE       = Bureau de Script
ROOM_SCRIPT_OFFICE_OWNER = John S. Jibble
ROOM_NOTOBACCO           = Societé du Tabac
ROOM_NOTOBACCO_OWNER     = American Society contre le tabac
ROOM_TOBACCOLOBBY        = Tabac lobby
ROOM_TOBACCOLOBBY_OWNER  = Union of American Tabac producteur
ROOM_VRDUBAN             = Consulat de VR Duban
ROOM_FRDUBAN             = Ambassade de FR Duban
ROOM_PORTER              = Recepetion
ROOM_LAUNDRY             = Blanchisserie
ROOM_BIOCONTROL          = Bio-Control
ROOM_PSYCHIATRIST        = Pychiatre "Alain Proviste"
ROOM_COMPUTERSHOP        = Boutique Informatique "SpySoft"
ROOM_AUCTION             = Enchères
ROOM_AUCTION_SUB         = Enchères films et series
ROOM_SIZE                = Taille Salle: %SIZE%

LOCKED  = Fermé
BLOCKED = Bloqué

ACCESS_TO_THIS_ROOM_IS_ONLY_POSSIBLE_WITH_THE_RIGHT_KEY = Uniquement possible avec le bouton droit
ACCESS_TO_THIS_ROOM_IS_CURRENTLY_NOT_POSSIBLE           = La salle n'est pas disponible

ROOM_IS_BLOCKED                           = Salle bloquée
ROOM_IS_OCCUPIED                          = Salle occupée
#SHOOTING_IN_PROGRESS                      = 
#SHOOTING_FINISHED                         = 
#PREPRODUCTION_IN_PROGRESS                 = 
#PREPRODUCTION_FINISHED                    = 
#BLOCKED_UNTIL_TIME                        = 
ROOM_THERE_IS_ALREADY_SOMEONE_IN_THE_ROOM = il ya déjà quelqu'un ici !


#ROOM_OVERVIEW               = 
#CANCEL_OR_RENT_ROOMS        = 
#PREVIOUS_TENANT             = 
#ORIGINAL_TENANT             = 
#RERENT                      = 
#IN_XTIME_AFTER_CANCELLATION = 
#IN_XTIME                    = 
#CLICK_AGAIN_TO_RENT         = 
#CLICK_AGAIN_TO_CANCEL_RENT  = 
#CONFIRM                     = 

#ROOMAGENCY_SIZE_TEXT1                              = 
#ROOMAGENCY_SIZE_TEXT2                              = 
#ROOMAGENCY_ROOM_X_IN_RANGE_TEXT1                   = 
#ROOMAGENCY_ROOM_SUPERMARKET_IN_RANGE_TEXT1         = 
#ROOMAGENCY_ROOM_SCRIPTAGENCY_IN_RANGE_TEXT1        = 
#ROOMAGENCY_ROOM_OFFICE_IN_RANGE_TEXT1              = 
#ROOMAGENCY_AVAILABLE_FOR_RENT_OF_X_PER_DAY         = 
#ROOMAGENCY_SIGNING_WILL_COST_A_SINGLE_PAYMENT_OF_X = 

#ROOMAGENCY_ROOM_CURRENTLY_NOT_AVAILABLE_BUT_THIS_MIGHT_CHANGE1 = 
#ROOMAGENCY_ROOM_CURRENTLY_NOT_AVAILABLE_BUT_THIS_MIGHT_CHANGE2 = 


#DIALOGUE_SUPERMARKET_TITLE1 = 
#DIALOGUE_SUPERMARKET_TITLE2 = 
#DIALOGUE_SUPERMARKET_TITLE3 = 
#DIALOGUE_SUPERMARKET_TEXT1  = 
#DIALOGUE_SUPERMARKET_TEXT2  = 
#DIALOGUE_SUPERMARKET_TEXT3  = 
#DIALOGUE_SUPERMARKET_TEXT4  = 

#DIALOGUE_SUPERMARKET_PLAN_A_PRODUCTION = 
#DIALOGUE_SUPERMARKET_BUY_A_PRESENT     = 
#DIALOGUE_SUPERMARKET_GOODBYE1          = 
#DIALOGUE_SUPERMARKET_GOODBYE2          = 
#DIALOGUE_SUPERMARKET_GOODBYE3          = 


#ARCHIVED_MESSAGES                   = 
#READ_MESSAGES_YOU_MIGHT_HAVE_MISSED = 
#MESSAGECATEGORY_CATEGORIES          = 
#MESSAGECATEGORY_ALL                 = 
#MESSAGECATEGORY_MONEY               = 
#MESSAGECATEGORY_ACHIEVEMENTS        = 
#MESSAGECATEGORY_AWARDS              = 
#MESSAGECATEGORY_MISC                = 
#MESSAGES_SHOW_ALL                   = 
#MESSAGES_SHOW_READ                  = 
#MESSAGES_SHOW_UNREAD                = 

BUY_AND_SELL        = Acheter et vendre
AND_STATISTICS      = et statistiques
FOR_PRIVATE_AFFAIRS = pour vos affaires privés


#INGAME_HELP_TEXT_SCREEN_EMPTYROOM  = 
#INGAME_HELP_TITLE_SCREEN_EMPTYROOM = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_SAFE  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_SAFE = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_ARCHIVEDMESSAGES  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_ARCHIVEDMESSAGES = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_PROGRAMMEPLANNER  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_PROGRAMMEPLANNER = 

#INGAME_HELP_TEXT_SCREEN_OFFICE_STATIONMAP  = 
#INGAME_HELP_TITLE_SCREEN_OFFICE_STATIONMAP = 

#INGAME_HELP_TEXT_SCREEN_NEWSSTUDIO  = 
#INGAME_HELP_TITLE_SCREEN_NEWSSTUDIO = 

#INGAME_HELP_TEXT_SCREEN_NEWSSTUDIO_NEWSPLANNER  = 
#INGAME_HELP_TITLE_SCREEN_NEWSSTUDIO_NEWSPLANNER = 

#INGAME_HELP_TEXT_SCREEN_ARCHIVE  = 
#INGAME_HELP_TITLE_SCREEN_ARCHIVE = 

#INGAME_HELP_TEXT_SCREEN_ROOMAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_ROOMAGENCY = 

#INGAME_HELP_TEXT_SCREEN_ROOMBOARD  = 
#INGAME_HELP_TITLE_SCREEN_ROOMBOARD = 

#INGAME_HELP_TEXT_SCREEN_SCRIPTAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_SCRIPTAGENCY = 

#INGAME_HELP_TEXT_SCREEN_STUDIO  = 
#INGAME_HELP_TITLE_SCREEN_STUDIO = 

#INGAME_HELP_TEXT_SCREEN_MOVIEAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_MOVIEAGENCY = 

#INGAME_HELP_TEXT_SCREEN_MOVIEAUCTION  = 
#INGAME_HELP_TITLE_SCREEN_MOVIEAUCTION = 

#INGAME_HELP_TEXT_SCREEN_SUPERMARKET_PRESENTS  = 
#INGAME_HELP_TITLE_SCREEN_SUPERMARKET_PRESENTS = 

#INGAME_HELP_TEXT_SCREEN_SUPERMARKET_PRODUCTION  = 
#INGAME_HELP_TITLE_SCREEN_SUPERMARKET_PRODUCTION = 

#INGAME_HELP_TEXT_SCREEN_ADAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_ADAGENCY = 
